ori,months_reported,sex_acts,sex_acts_cleared,sex_acts_juvenile_cleared,servitude,servitude_cleared,servitude_juvenile_cleared
MO05100,6,0,0,0,0,0,0
MO05101,6,0,0,0,0,0,0
MO05102,5,0,0,0,0,0,0
MO05103,8,0,0,0,0,0,0
MO05104,5,0,0,0,0,0,0
MO05109,6,0,0,0,0,0,0
MO05200,6,0,0,0,0,0,0
MO05202,5,0,0,0,0,0,0
MO05301,6,0,0,0,0,0,0
MO05302,6,0,0,0,0,0,0
MO05400,7,0,0,0,0,0,0
MO05401,6,0,0,0,0,0,0
MO05402,5,0,0,0,0,0,0
MO05403,5,0,0,0,0,0,0
MO05404,5,0,0,0,0,0,0
MO05405,11,0,0,0,0,0,0
MO05406,5,0,0,0,0,0,0
MO05407,6,0,0,0,0,0,0
MO05409,5,0,0,0,0,0,0
MO05411,8,0,0,0,0,0,0
MO05500,5,0,0,0,0,0,0
MO05501,5,0,0,0,0,0,0
MO05502,8,0,0,0,0,0,0
MO05503,6,0,0,0,0,0,0
MO05504,5,0,0,0,0,0,0
MO05505,6,0,0,0,0,0,0
MO05510,6,0,0,0,0,0,0
MO05600,6,0,0,0,0,0,0
MO05601,5,0,0,0,0,0,0
MO05603,5,0,0,0,0,0,0
MO05700,5,0,0,0,0,0,0
MO05701,5,0,0,0,0,0,0
MO05702,5,0,0,0,0,0,0
MO05703,5,0,0,0,0,0,0
MO05704,7,0,0,0,0,0,0
MO05705,5,0,0,0,0,0,0
MO05706,5,0,0,0,0,0,0
MO05707,6,0,0,0,0,0,0
MO05708,5,0,0,0,0,0,0
MO05800,6,0,0,0,0,0,0
MO05801,6,0,0,0,0,0,0
MO05802,6,0,0,0,0,0,0
MO05803,7,0,0,0,0,0,0
MO05900,5,0,0,0,0,0,0
MO06000,6,0,0,0,0,0,0
MO06001,5,0,0,0,0,0,0
MO06002,6,0,0,0,0,0,0
MO06003,5,0,0,0,0,0,0
MO06004,6,0,0,0,0,0,0
MO06005,5,0,0,0,0,0,0
MO06006,6,0,0,0,0,0,0
MO06100,6,0,0,0,0,0,0
MO06102,7,0,0,0,0,0,0
MO06103,6,0,0,0,0,0,0
MO06200,8,0,0,0,0,0,0
MO06201,6,0,0,0,0,0,0
MO06300,5,0,0,0,0,0,0
MO06301,5,0,0,0,0,0,0
MO06304,6,0,0,0,0,0,0
MO06400,6,0,0,0,0,0,0
MO06401,6,0,0,0,0,0,0
MO06402,6,0,0,0,0,0,0
MO06500,5,0,0,0,0,0,0
MO06600,5,0,0,0,0,0,0
MO06601,6,0,0,0,0,0,0
MO06602,6,0,0,0,0,0,0
MO06603,5,0,0,0,0,0,0
MO06700,8,0,0,0,0,0,0
MO06701,11,0,0,0,0,0,0
MO06702,11,0,0,0,0,0,0
MO06704,11,0,0,0,0,0,0
MO06800,6,0,0,0,0,0,0
MO06801,7,0,0,0,0,0,0
MO06802,6,0,0,0,0,0,0
